id,family,status,reason
misc_raycaster_helper,misc,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
misc_uv_tests,misc,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
physics_ammo_break,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_ammo_cloth,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_ammo_instancing,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_ammo_rope,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_ammo_terrain,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_ammo_volume,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_jolt_instancing,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_rapier_basic,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_rapier_character_controller,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_rapier_instancing,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_rapier_joints,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_rapier_terrain,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
physics_rapier_vehicle_controller,physics,external,Requires Ammo/Jolt/Rapier simulation integration.
svg_lines,svg,external,Requires SVG/DOM renderer or SVGLoader conversion not supplied by EASEL.
svg_sandbox,svg,external,Requires SVG/DOM renderer or SVGLoader conversion not supplied by EASEL.
webaudio_orientation,webaudio,external,Requires Web Audio runtime and audio graph integration.
webaudio_sandbox,webaudio,external,Requires Web Audio runtime and audio graph integration.
webaudio_timing,webaudio,external,Requires Web Audio runtime and audio graph integration.
webaudio_visualizer,webaudio,external,Requires Web Audio runtime and audio graph integration.
webgl_animation_keyframes,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_animation_multiple,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_animation_skinning_additive_blending,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_animation_skinning_blending,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_animation_skinning_ik,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_animation_skinning_morph,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_animation_walk,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_batch_lod_bvh,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_buffergeometry,webgl,direct,Core scene/CPU primitive feature set is present; port changes package import and Renderer setup only.
webgl_buffergeometry_attributes_integer,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_buffergeometry_attributes_none,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_buffergeometry_custom_attributes_particles,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_buffergeometry_drawrange,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_buffergeometry_glbufferattribute,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_buffergeometry_indexed,webgl,direct,Core scene/CPU primitive feature set is present; port changes package import and Renderer setup only.
webgl_buffergeometry_instancing,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_buffergeometry_instancing_billboards,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_buffergeometry_instancing_interleaved,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_buffergeometry_lines,webgl,direct,Core scene/CPU primitive feature set is present; port changes package import and Renderer setup only.
webgl_buffergeometry_lines_indexed,webgl,direct,Core scene/CPU primitive feature set is present; port changes package import and Renderer setup only.
webgl_buffergeometry_points,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_buffergeometry_points_interleaved,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_buffergeometry_rawshader,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_buffergeometry_selective_draw,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_buffergeometry_uint,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_camera,webgl,direct,Core scene/CPU primitive feature set is present; port changes package import and Renderer setup only.
webgl_camera_array,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_camera_logarithmicdepthbuffer,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_clipculldistance,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_clipping,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_clipping_advanced,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_clipping_intersection,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_clipping_stencil,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_custom_attributes,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_custom_attributes_lines,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_custom_attributes_points,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_custom_attributes_points2,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_custom_attributes_points3,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_decals,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_depth_texture,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_effects_anaglyph,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_effects_ascii,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_effects_parallaxbarrier,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_effects_stereo,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_framebuffer_texture,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_furnace_test,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_geometries,webgl,adapt,Phong material and repeated texture semantics require EASEL material/sampler substitution.
webgl_geometry_colors,webgl,adapt,MeshPhongMaterial/shadow visuals require Lambert/Basic CPU substitution.
webgl_geometry_colors_lookuptable,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_geometry_convex,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_csg,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_geometry_cube,webgl,adapt,"TextureLoader image is portable, but affine/nearest/size-limited EASEL sampling changes the source result."
webgl_geometry_extrude_shapes,webgl,adapt,TrackballControls is not available; use OrbitControls or a static camera.
webgl_geometry_extrude_splines,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_minecraft,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_nurbs,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_shapes,webgl,adapt,Phong/repeated texture semantics require EASEL material/sampler substitution.
webgl_geometry_spline_editor,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_teapot,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_terrain,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_terrain_raycast,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_text,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_text_shapes,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_geometry_text_stroke,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_gpgpu_birds,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_gpgpu_birds_gltf,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_gpgpu_protoplanet,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_gpgpu_water,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_helpers,webgl,external,Requires GLTFLoader and helper asset integration absent from EASEL.
webgl_instancing_dynamic,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_instancing_morph,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_instancing_performance,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_instancing_raycast,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_instancing_scatter,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_interactive_buffergeometry,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_interactive_cubes,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_interactive_cubes_gpu,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_interactive_cubes_ortho,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_interactive_lines,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_interactive_points,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_interactive_raycasting_points,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_interactive_voxelpainter,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lensflares,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lightprobe,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lightprobe_cubecamera,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lightprobes,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lightprobes_complex,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lightprobes_sponza,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lights_hemisphere,webgl,adapt,"The page also requires GLTFLoader, ShaderMaterial sky, and shadow-map setup; adapt the hemisphere-light scene."
webgl_lights_physical,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lights_rectarealight,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lights_spotlight,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lights_spotlights,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lines_colors,webgl,direct,Core scene/CPU primitive feature set is present; port changes package import and Renderer setup only.
webgl_lines_dashed,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lines_fat,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lines_fat_raycasting,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_lines_fat_wireframe,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_loader_3dm,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_3ds,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_3dtiles,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_3mf,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_3mf_materials,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_amf,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_bvh,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_collada,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_collada_kinematics,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_collada_skinning,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_draco,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_fbx,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_fbx_nurbs,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gcode,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_animation_pointer,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_anisotropy,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_avif,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_compressed,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_dispersion,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_instancing,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_iridescence,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_progressive_lod,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_sheen,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_transmission,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_gltf_variants,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_ifc,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_imagebitmap,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_kmz,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_ldraw,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_md2,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_md2_control,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_mdd,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_nrrd,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_obj,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_pcd,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_pdb,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_ply,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_stl,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_svg,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_dds,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_exr,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_hdr,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_ktx,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_ktx2,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_lottie,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_pvrtc,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_tga,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_tiff,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_texture_ultrahdr,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_ttf,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_usdz,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_vox,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_vrml,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_loader_xyz,webgl,external,Requires a format importer/exporter and usually external assets/decoders.
webgl_lod,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_marchingcubes,webgl,adapt,"CPU scene is feasible, but EASEL needs an API/data/control/asset adaptation; no GPU pipeline is required."
webgl_materials_alphahash,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_blending,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_blending_custom,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_bumpmap,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_car,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_channels,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_cubemap,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_cubemap_dynamic,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_cubemap_mipmaps,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_cubemap_refraction,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_cubemap_render_to_mipmaps,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_displacementmap,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_envmaps,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_envmaps_exr,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_envmaps_fasthdr,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_envmaps_groundprojected,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_envmaps_hdr,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_matcap,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_modified,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_normalmap,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_normalmap_object_space,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_physical_clearcoat,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
webgl_materials_physical_transmission,webgl,unsupported_gpu,"Uses WebGL/WebGPU-only shaders, compute, render targets, postprocessing, shadow/PBR/environment pipeline, or GPU-specific capability."
